date,ticker,expiry,spot,total_call_oi,total_put_oi,pcr_oi,max_pain,max_pain_dist,oi_conc_top3,n_strikes
2026-06-14,RELIANCE,2026-06-30,1293.0,85332500.0,48859500.0,0.5725778572056368,1310.0,-0.013147718484145398,0.26542193275307024,53
2026-06-14,TCS,2026-06-30,2161.4,27304025.0,15503425.0,0.5678073104606373,2240.0,-0.036365318774868094,0.2958375236086242,50
2026-06-14,HDFCBANK,2026-06-30,772.45,94563700.0,58439150.0,0.6179871345981598,750.0,0.02906336979739795,0.33367842494437194,49
