,entry_time,exit_time,date,ticker,side,entry_px,exit_px,pnl_pct,net_pnl_pct,qty,net_pnl_inr,long_conv,short_conv,score_15m,cum_pnl_inr
1,2026-06-05 09:15:00,2026-06-05 10:15:00,2026-06-05,GRASIM.NS,LONG,3098.0,3110.7,0.4099,0.3099,32,307.26,0.008271753787994385,-0.008271753787994385,2.3951659202575684,307.26
2,2026-06-05 09:15:00,2026-06-05 10:15:00,2026-06-05,IRCTC.NS,LONG,529.5,528.8,-0.1322,-0.2322,187,-229.92,0.007269427180290222,-0.007269427180290222,2.585632801055908,77.34
3,2026-06-05 09:15:00,2026-06-05 10:15:00,2026-06-05,HEROMOTOCO.NS,LONG,4836.0,4827.1,-0.184,-0.284,20,-274.72,0.006257668137550354,-0.006257668137550354,2.2228879928588867,-197.38000000000002
4,2026-06-05 09:15:00,2026-06-05 10:15:00,2026-06-05,ZEEL.NS,SHORT,109.45,111.88,-2.2202,-2.3202,909,-2308.36,-0.01819481886923313,0.01819481886923313,-2.7642829418182373,-2505.7400000000002
5,2026-06-05 09:15:00,2026-06-05 10:15:00,2026-06-05,ATGL.NS,SHORT,760.35,758.95,0.1841,0.0841,130,83.15,-0.01634591817855835,0.01634591817855835,-2.6823480129241943,-2422.59
6,2026-06-05 10:15:00,2026-06-05 11:15:00,2026-06-05,ZEEL.NS,SHORT,111.88,110.8,0.9653,0.8653,889,860.66,-0.0076543428003787994,0.0076543428003787994,-3.5658793449401855,-1561.9300000000003
7,2026-06-05 10:15:00,2026-06-05 11:15:00,2026-06-05,NAVINFLUOR.NS,LONG,7114.5,7085.0,-0.4146,-0.5146,13,-475.99,0.005757872015237808,-0.005757872015237808,2.2325005531311035,-2037.9200000000003
8,2026-06-05 10:15:00,2026-06-05 11:15:00,2026-06-05,AIAENG.NS,SHORT,4768.7,4671.4,2.0404,1.9404,20,1850.63,-0.010698463767766953,0.010698463767766953,-3.5208563804626465,-187.2900000000002
9,2026-06-05 10:15:00,2026-06-05 11:15:00,2026-06-05,LALPATHLAB.NS,LONG,1540.8,1546.9,0.3959,0.2959,64,291.79,0.012293916195631027,-0.012293916195631027,2.0809030532836914,104.49999999999983
10,2026-06-05 10:15:00,2026-06-05 11:15:00,2026-06-05,UNITDSPR.NS,LONG,1252.0,1250.2,-0.1438,-0.2438,79,-241.11,0.006280045956373215,-0.006280045956373215,2.4442086219787598,-136.61000000000018
11,2026-06-05 11:15:00,2026-06-05 12:15:00,2026-06-05,TRENT.NS,LONG,2759.3,2783.0,0.8589,0.7589,36,753.87,0.008120507001876831,-0.008120507001876831,2.6217331886291504,617.2599999999998
12,2026-06-05 11:15:00,2026-06-05 12:15:00,2026-06-05,ALKEM.NS,LONG,5246.5,5270.0,0.4479,0.3479,18,328.56,0.007031157612800598,-0.007031157612800598,2.6217331886291504,945.8199999999997
13,2026-06-05 11:15:00,2026-06-05 12:15:00,2026-06-05,INDUSINDBK.NS,LONG,916.55,910.1,-0.7037,-0.8037,108,-795.59,0.005577124655246735,-0.005577124655246735,2.6217331886291504,150.22999999999968
14,2026-06-05 11:15:00,2026-06-05 12:15:00,2026-06-05,NYKAA.NS,SHORT,268.0,265.7,0.8582,0.7582,371,753.87,-0.062497589737176895,0.062497589737176895,-2.9384617805480957,904.0999999999997
15,2026-06-05 11:15:00,2026-06-05 12:15:00,2026-06-05,POLICYBZR.NS,SHORT,1539.1,1554.0,-0.9681,-1.0681,64,-1052.1,-0.022609775885939598,0.022609775885939598,-2.7829647064208984,-148.00000000000023
16,2026-06-05 12:15:00,2026-06-05 13:15:00,2026-06-05,ATGL.NS,SHORT,763.8,755.55,1.0801,0.9801,130,973.21,-0.01582285389304161,0.01582285389304161,-3.5981192588806152,825.2099999999998
17,2026-06-05 12:15:00,2026-06-05 13:15:00,2026-06-05,BRIGADE.NS,SHORT,490.35,488.15,0.4487,0.3487,202,345.35,-0.03497941792011261,0.03497941792011261,-3.682431697845459,1170.56
18,2026-06-05 12:15:00,2026-06-05 13:15:00,2026-06-05,MRF.NS,LONG,123805.0,123585.0,-0.1777,-0.2777,0,-0.0,0.008289281278848648,-0.008289281278848648,2.246410369873047,1170.56
19,2026-06-05 12:15:00,2026-06-05 13:15:00,2026-06-05,WHIRLPOOL.NS,LONG,807.85,803.0,-0.6004,-0.7004,123,-695.92,0.007497843354940414,-0.007497843354940414,2.1272099018096924,474.64
20,2026-06-05 12:15:00,2026-06-05 13:15:00,2026-06-05,AMBUJACEM.NS,LONG,417.8,416.6,-0.2872,-0.3872,238,-385.04,0.006705079227685928,-0.006705079227685928,1.9901524782180786,89.59999999999997
21,2026-06-05 13:15:00,2026-06-05 14:15:00,2026-06-05,CANBK.NS,LONG,134.57,134.76,0.1412,0.0412,739,40.96,0.006744105368852615,-0.006744105368852615,1.7459478378295898,130.55999999999997
22,2026-06-05 13:15:00,2026-06-05 14:15:00,2026-06-05,ITC.NS,LONG,279.8,280.35,0.1966,0.0966,355,95.92,0.006451651453971863,-0.006451651453971863,1.9222548007965088,226.47999999999996
23,2026-06-05 13:15:00,2026-06-05 14:15:00,2026-06-05,AMBUJACEM.NS,LONG,416.6,416.25,-0.084,-0.184,238,-182.45,0.004634067416191101,-0.004634067416191101,1.7459478378295898,44.02999999999997
24,2026-06-05 13:15:00,2026-06-05 14:15:00,2026-06-05,POLICYBZR.NS,SHORT,1543.1,1536.3,0.4407,0.3407,64,336.44,-0.03807784616947174,0.03807784616947174,-3.2161078453063965,380.46999999999997
25,2026-06-05 13:15:00,2026-06-05 14:15:00,2026-06-05,PVRINOX.NS,SHORT,982.05,978.0,0.4124,0.3124,101,309.86,-0.005988851189613342,0.005988851189613342,-5.36875057220459,690.3299999999999
26,2026-06-05 14:15:00,2026-06-08 09:15:00,2026-06-05,PAGEIND.NS,LONG,38345.0,37985.0,-0.9388,-1.0388,2,-796.69,0.0077362507581710815,-0.0077362507581710815,3.110708713531494,-106.36000000000013
27,2026-06-05 14:15:00,2026-06-08 09:15:00,2026-06-05,UPL.NS,LONG,636.5,626.4,-1.5868,-1.6868,156,-1674.89,0.00588848814368248,-0.00588848814368248,3.129425525665283,-1781.2500000000002
