date,anchor,Sconv,idx2h,idxHold,Sg,net6
2026-06-16,10:15,0.0256653223186731,0.36699024849804474,-0.058675038824396175,-120.54507337526164,-126.54507337526164
2026-06-16,10:30,0.0240106638520956,0.4464304354735438,-0.14731738337787625,-83.48552048004244,-89.48552048004244
2026-06-16,10:45,0.017755813896656,0.4646632806136308,-0.115369796175957,29.67429493875225,23.67429493875225
2026-06-16,11:00,0.0258709788322448,0.35588843529195113,-0.05116787910283138,-4.310344827585962,-10.310344827585961
2026-06-16,11:15,0.0193536765873432,-0.03592451071517955,0.047641773044460045,-105.54596046824024,-111.54596046824024
2026-06-16,11:30,0.0196056403219699,0.03867404533046681,0.00021223320347818486,19.153196552424355,13.153196552424355
2026-06-16,11:45,0.0160210523754358,-0.006265507232372514,-0.011903577918548347,-44.17900679047772,-50.17900679047772
2026-06-16,12:00,0.0154964979737997,0.07695639853531056,0.0750117251733684,52.65822784810173,46.65822784810173
2026-06-16,12:15,0.0155213121324777,-0.011061219608765605,0.1081769893022333,-36.56307129798926,-42.56307129798926
2026-06-16,12:30,0.0139800515025854,-0.14710546283080994,0.15755833074369008,-26.401299756295924,-32.40129975629593
2026-06-16,12:45,0.0148784592747688,-0.12725964096091946,0.12763394955350726,19.461469195688903,13.461469195688903
2026-06-16,13:00,0.0170811209827661,0.023805464161674728,0.20629482648821806,0.4561419513769273,-5.543858048623073
2026-06-16,13:15,0.015253197401762,0.1558702997824124,0.07468859379264892,-15.372095126141758,-21.372095126141758
2026-06-16,13:30,0.0172381978482007,0.15777089833826086,0.0,43.611504007542806,37.611504007542806
2026-06-16,13:45,0.0157201159745454,0.11571517862831726,0.08866431608438585,-10.04016064257028,-16.040160642570278
2026-06-16,14:00,0.0171621590852737,0.2814612969698649,-0.0370912967636694,-45.0623202301059,-51.0623202301059
2026-06-16,14:15,0.016622744500637,0.18294637896700827,0.03898171963372388,-18.94428657539004,-24.94428657539004
2026-06-17,10:15,0.0238221287727355,0.3040398694267088,0.09161473960970223,-15.814443858723902,-21.8144438587239
2026-06-17,10:30,0.0237917974591255,0.3825997146741589,-0.010168746042782395,12.280701754386763,6.280701754386763
2026-06-17,10:45,0.0195994190871715,0.358635339541169,-0.1034069378114566,15.461381685290922,9.461381685290922
2026-06-17,11:00,0.0201702266931533,0.3657172031164668,-0.13038298176049068,10.88850174216028,4.88850174216028
2026-06-17,11:15,0.0154702309519052,0.28412994716959794,-0.18036992130889828,8.1915563957149,2.1915563957148994
2026-06-17,11:30,0.0156426206231117,0.09039317622432375,-0.1621487918317399,-11.24859392575864,-17.24859392575864
