date,trades,winners,net_pnl_inr,avg_pct,best_pct,worst_pct,win_rate,cum_pnl
2026-06-05,42,14,-2424.5499999999997,-0.06161904761904762,2.4665,-1.4292,33.3,-2424.5499999999997
2026-06-08,42,14,-1240.1499999999999,-0.029314285714285716,2.989,-1.4682,33.3,-3664.7
2026-06-09,42,13,-6478.51,-0.15735476190476191,0.8689,-0.6245,31.0,-10143.21
2026-06-10,42,16,-1287.06,-0.03293095238095239,3.5708,-0.6913,38.1,-11430.269999999999
2026-06-11,42,21,1081.2499999999998,0.02723571428571428,1.4326,-0.6767,50.0,-10349.019999999999
2026-06-12,42,17,-2702.98,-0.06833333333333333,0.9009,-0.8072,40.5,-13051.999999999998
2026-06-15,42,14,-1221.51,-0.029645238095238093,1.1449,-0.5513,33.3,-14273.509999999998
2026-06-16,42,17,-1964.93,-0.04836666666666667,2.8977,-0.8436,40.5,-16238.439999999999
2026-06-17,42,13,-6276.38,-0.15709761904761904,1.0181,-1.1365,31.0,-22514.82
