,entry_time,exit_time,date,ticker,side,exit_reason,entry_px,exit_px,pnl_pct,net_pnl_pct,qty,net_pnl_inr,long_conv,short_conv,score_15m,cum_pnl_inr
1,2026-06-18 09:15:00,2026-06-18 10:15:00,2026-06-18,OFSS.NS,LONG,TIME,9328.0,9360.5,0.3484,0.2484,8,185.38,0.019531089812517166,-0.019531089812517166,3.011394500732422,185.38
2,2026-06-18 09:15:00,2026-06-18 10:15:00,2026-06-18,GRASIM.NS,LONG,TIME,3145.9,3118.0,-0.8869,-0.9869,26,-807.19,0.01473323255777359,-0.01473323255777359,2.834516763687134,-621.8100000000001
3,2026-06-18 09:15:00,2026-06-18 10:15:00,2026-06-18,NYKAA.NS,SHORT,TIME,284.75,294.2,-3.3187,-3.4187,291,-2832.81,-0.07764385640621185,0.07764385640621185,-2.363344192504883,-3454.62
4,2026-06-18 09:15:00,2026-06-18 10:15:00,2026-06-18,CHOLAFIN.NS,SHORT,TIME,1678.8,1678.0,0.0477,-0.0523,49,-43.06,-0.02531570941209793,0.02531570941209793,-2.2820966243743896,-3497.68
5,2026-06-18 09:15:00,2026-06-18 10:15:00,2026-06-18,GNFC.NS,SHORT,TIME,567.0,565.2,0.3175,0.2175,146,180.02,-0.021170446649193764,0.021170446649193764,-2.0732245445251465,-3317.66
6,2026-06-18 09:15:00,2026-06-18 10:15:00,2026-06-18,PRESTIGE.NS,SHORT,TIME,1524.5,1513.8,0.7019,0.6019,54,495.48,-0.01964142546057701,0.01964142546057701,-2.028480291366577,-2822.18
7,2026-06-18 10:15:00,2026-06-18 11:15:00,2026-06-18,ASTRAL.NS,LONG,TIME,1566.2,1567.5,0.083,-0.017,52,-13.84,0.017536159604787827,-0.017536159604787827,1.89478600025177,-2836.02
8,2026-06-18 10:15:00,2026-06-18 11:15:00,2026-06-18,NYKAA.NS,SHORT,TIME,294.2,299.15,-1.6825,-1.7825,281,-1473.62,-0.0875931978225708,0.0875931978225708,-2.9838080406188965,-4309.639999999999
9,2026-06-18 10:15:00,2026-06-18 11:15:00,2026-06-18,POLICYBZR.NS,SHORT,TIME,1616.0,1609.9,0.3775,0.2775,51,228.68,-0.03371332585811615,0.03371332585811615,-3.004126787185669,-4080.9599999999996
10,2026-06-18 10:15:00,2026-06-18 11:15:00,2026-06-18,GNFC.NS,SHORT,TIME,565.2,563.6,0.2831,0.1831,146,151.08,-0.010363005101680756,0.010363005101680756,-2.9020142555236816,-3929.8799999999997
11,2026-06-18 11:15:00,2026-06-18 12:15:00,2026-06-18,TRENT.NS,SHORT,TIME,3182.9,3175.0,0.2482,0.1482,26,122.64,-0.016308996826410294,0.016308996826410294,-2.494821071624756,-3807.24
12,2026-06-18 11:15:00,2026-06-18 12:15:00,2026-06-18,ITC.NS,LONG,TIME,289.05,289.85,0.2768,0.1768,286,146.13,0.015713505446910858,-0.015713505446910858,2.746577739715576,-3661.1099999999997
13,2026-06-18 11:15:00,2026-06-18 12:15:00,2026-06-18,ESCORTS.NS,LONG,TIME,2823.0,2816.0,-0.248,-0.348,29,-284.87,0.01716524362564087,-0.01716524362564087,2.8330702781677246,-3945.9799999999996
14,2026-06-18 11:15:00,2026-06-18 12:15:00,2026-06-18,SUNTV.NS,LONG,TIME,521.0,523.65,0.5086,0.4086,159,338.51,0.01621934399008751,-0.01621934399008751,4.084918975830078,-3607.4699999999993
15,2026-06-18 12:15:00,2026-06-18 13:15:00,2026-06-18,DEVYANI.NS,LONG,TIME,112.83,112.92,0.0798,-0.0202,735,-16.78,0.016504187136888504,-0.016504187136888504,4.353996276855469,-3624.2499999999995
16,2026-06-18 13:15:00,2026-06-18 14:15:00,2026-06-18,MRF.NS,LONG,TIME,129260.0,129200.0,-0.0464,-0.1464,0,-0.0,0.01519690826535225,-0.01519690826535225,2.922194480895996,-3624.2499999999995
17,2026-06-18 13:15:00,2026-06-18 14:15:00,2026-06-18,ATUL.NS,LONG,TIME,6498.0,6501.0,0.0462,-0.0538,12,-41.98,0.01509462296962738,-0.01509462296962738,3.153029680252075,-3666.2299999999996
18,2026-06-18 13:15:00,2026-06-18 14:15:00,2026-06-18,METROPOLIS.NS,LONG,TIME,541.8,541.25,-0.1015,-0.2015,153,-167.05,0.014637816697359085,-0.014637816697359085,2.8093106746673584,-3833.2799999999997
19,2026-06-18 13:15:00,2026-06-18 14:15:00,2026-06-18,SUNDARMFIN.NS,SHORT,TIME,4408.8,4406.5,0.0522,-0.0478,18,-37.96,-0.020016735419631004,0.020016735419631004,-2.6255335807800293,-3871.24
20,2026-06-18 13:15:00,2026-06-18 14:15:00,2026-06-18,RBLBANK.NS,SHORT,TIME,372.7,371.9,0.2146,0.1146,222,94.86,-0.01555241085588932,0.01555241085588932,-2.598465919494629,-3776.3799999999997
21,2026-06-18 14:15:00,2026-06-18 15:15:00,2026-06-18,MRF.NS,LONG,TIME,129200.0,130310.0,0.8591,0.7591,0,0.0,0.017160430550575256,-0.017160430550575256,2.7001514434814453,-3776.3799999999997
22,2026-06-18 14:15:00,2026-06-18 15:15:00,2026-06-18,INDIGO.NS,SHORT,TIME,4988.0,5014.0,-0.5213,-0.6213,16,-495.81,-0.01397620141506195,0.01397620141506195,-3.4389445781707764,-4272.19
