,entry_time,exit_time,date,ticker,side,exit_reason,entry_px,exit_px,pnl_pct,net_pnl_pct,qty,net_pnl_inr,long_conv,short_conv,score_15m,cum_pnl_inr
1,2026-06-17 09:15:00,2026-06-17 10:15:00,2026-06-17,NMDC.NS,LONG,TIME,87.7,88.19,0.5587,0.4587,945,380.17,0.03809431940317154,-0.03809431940317154,2.778618335723877,380.17
2,2026-06-17 09:15:00,2026-06-17 10:15:00,2026-06-17,COALINDIA.NS,LONG,TIME,449.5,449.25,-0.0556,-0.1556,184,-128.71,0.035436853766441345,-0.035436853766441345,2.78275203704834,251.46
3,2026-06-17 09:15:00,2026-06-17 10:15:00,2026-06-17,TATASTEEL.NS,LONG,TIME,195.93,197.34,0.7196,0.6196,423,513.55,0.034592047333717346,-0.034592047333717346,2.78275203704834,765.01
4,2026-06-17 09:15:00,2026-06-17 10:15:00,2026-06-17,NYKAA.NS,SHORT,TIME,278.7,278.85,-0.0538,-0.1538,297,-127.32,-0.08624173700809479,0.08624173700809479,-2.2389707565307617,637.69
5,2026-06-17 09:15:00,2026-06-17 10:15:00,2026-06-17,BANDHANBNK.NS,SHORT,TIME,214.95,215.45,-0.2326,-0.3326,385,-275.26,-0.02764587104320526,0.02764587104320526,-2.046783447265625,362.43000000000006
6,2026-06-17 09:15:00,2026-06-17 10:15:00,2026-06-17,CHOLAFIN.NS,SHORT,TIME,1683.0,1684.8,-0.107,-0.207,49,-170.67,-0.026125561445951462,0.026125561445951462,-2.087387800216675,191.76000000000008
7,2026-06-17 10:15:00,2026-06-17 11:15:00,2026-06-17,JUBLFOOD.NS,LONG,TIME,423.55,424.75,0.2833,0.1833,195,151.41,0.020608313381671906,-0.020608313381671906,2.5123496055603027,343.1700000000001
8,2026-06-17 10:15:00,2026-06-17 11:15:00,2026-06-17,IRCTC.NS,LONG,TIME,520.55,520.05,-0.0961,-0.1961,159,-162.27,0.018319182097911835,-0.018319182097911835,2.5123496055603027,180.90000000000006
9,2026-06-17 10:15:00,2026-06-17 11:15:00,2026-06-17,CROMPTON.NS,LONG,TIME,271.35,274.95,1.3267,1.2267,305,1015.24,0.016340434551239014,-0.016340434551239014,3.3824734687805176,1196.14
10,2026-06-17 10:15:00,2026-06-17 11:15:00,2026-06-17,POLICYBZR.NS,SHORT,TIME,1616.6,1611.3,0.3278,0.2278,51,187.85,-0.033750105649232864,0.033750105649232864,-2.814680576324463,1383.99
11,2026-06-17 10:15:00,2026-06-17 11:15:00,2026-06-17,JKCEMENT.NS,SHORT,TIME,5275.0,5400.0,-2.3697,-2.4697,15,-1954.12,-0.018931308761239052,0.018931308761239052,-2.8984103202819824,-570.1299999999999
12,2026-06-17 10:15:00,2026-06-17 11:15:00,2026-06-17,PHOENIXLTD.NS,SHORT,TIME,1897.7,1891.7,0.3162,0.2162,43,176.4,-0.012558378279209137,0.012558378279209137,-3.19091796875,-393.7299999999999
13,2026-06-17 11:15:00,2026-06-17 12:15:00,2026-06-17,JKCEMENT.NS,SHORT,TIME,5400.0,5420.5,-0.3796,-0.4796,15,-388.5,-0.020717062056064606,0.020717062056064606,-2.719259738922119,-782.2299999999999
