timestamp,open,high,low,close,volume,oi
2025-05-29 09:15:00+05:30,162.19,163.52,162.13,162.61,3120373,0
2025-05-29 09:30:00+05:30,162.63,163.04,162.04,162.21,1300091,0
2025-05-29 09:45:00+05:30,162.21,162.24,161.85,162.08,781725,0
2025-05-29 10:00:00+05:30,162.09,162.66,161.91,162.38,810830,0
2025-05-29 10:15:00+05:30,162.38,162.47,162.01,162.09,517770,0
2025-05-29 10:30:00+05:30,162.08,162.1,161.5,161.69,740540,0
2025-05-29 10:45:00+05:30,161.66,162.44,161.63,162.18,655579,0
2025-05-29 11:00:00+05:30,162.19,162.33,162.0,162.13,434846,0
2025-05-29 11:15:00+05:30,162.13,163.25,162.09,163.0,1137448,0
2025-05-29 11:30:00+05:30,163.05,163.19,162.69,162.72,680242,0
2025-05-29 11:45:00+05:30,162.72,162.94,162.69,162.77,596816,0
2025-05-29 12:00:00+05:30,162.79,162.83,162.4,162.55,504812,0
2025-05-29 12:15:00+05:30,162.55,162.8,162.44,162.6,358735,0
2025-05-29 12:30:00+05:30,162.65,162.72,162.26,162.49,623907,0
2025-05-29 12:45:00+05:30,162.47,162.9,162.37,162.88,486925,0
2025-05-29 13:00:00+05:30,162.85,163.95,162.69,163.77,2848888,0
2025-05-29 13:15:00+05:30,163.75,163.84,163.41,163.58,770461,0
2025-05-29 13:30:00+05:30,163.55,163.59,163.13,163.27,604665,0
2025-05-29 13:45:00+05:30,163.27,163.28,162.81,162.84,519680,0
2025-05-29 14:00:00+05:30,162.84,162.91,162.6,162.69,483708,0
2025-05-29 14:15:00+05:30,162.69,162.79,162.6,162.62,346028,0
2025-05-29 14:30:00+05:30,162.62,162.66,162.4,162.5,630511,0
2025-05-29 14:45:00+05:30,162.5,163.3,162.44,163.25,1592017,0
2025-05-29 15:00:00+05:30,163.25,163.47,162.91,163.01,3451155,0
2025-05-29 15:15:00+05:30,162.97,163.32,162.6,163.15,2418458,0
2025-05-30 09:15:00+05:30,163.11,163.89,162.33,162.41,2519716,0
2025-05-30 09:30:00+05:30,162.41,162.46,161.75,161.82,1209832,0
2025-05-30 09:45:00+05:30,161.88,162.38,161.51,162.06,1293141,0
2025-05-30 10:00:00+05:30,162.07,162.09,161.61,161.94,577860,0
2025-05-30 10:15:00+05:30,161.94,161.94,161.26,161.4,808830,0
2025-05-30 10:30:00+05:30,161.41,161.41,161.0,161.29,1058952,0
2025-05-30 10:45:00+05:30,161.29,161.35,160.94,161.34,730772,0
2025-05-30 11:00:00+05:30,161.34,161.65,161.22,161.5,593167,0
2025-05-30 11:15:00+05:30,161.57,161.63,161.4,161.55,251755,0
2025-05-30 11:30:00+05:30,161.55,161.69,161.38,161.5,280170,0
2025-05-30 11:45:00+05:30,161.53,161.8,161.3,161.54,574196,0
2025-05-30 12:00:00+05:30,161.53,161.62,161.13,161.6,466882,0
2025-05-30 12:15:00+05:30,161.57,161.65,161.47,161.57,181103,0
2025-05-30 12:30:00+05:30,161.57,161.57,161.03,161.07,334326,0
2025-05-30 12:45:00+05:30,161.07,161.44,161.05,161.38,249905,0
2025-05-30 13:00:00+05:30,161.38,161.38,161.1,161.18,266044,0
2025-05-30 13:15:00+05:30,161.16,161.4,161.05,161.27,509300,0
2025-05-30 13:30:00+05:30,161.28,161.5,161.21,161.4,256269,0
2025-05-30 13:45:00+05:30,161.4,161.56,161.1,161.54,450071,0
2025-05-30 14:00:00+05:30,161.54,161.65,161.01,161.03,583289,0
2025-05-30 14:15:00+05:30,161.04,161.22,160.9,160.91,1010977,0
2025-05-30 14:30:00+05:30,160.94,161.08,160.69,160.77,1812194,0
2025-05-30 14:45:00+05:30,160.82,160.82,160.51,160.63,2500704,0
2025-05-30 15:00:00+05:30,160.63,161.62,160.63,160.82,7435507,0
