Date,Ticker,Direction,Prob_Up,Raw_Return,Net_Return,Score
2022-09-01,TVSMOTOR,LONG,0.78259224,-0.0120212196427701,-0.0126212196427701,0.2212495505809784
2022-09-01,SRF,LONG,0.78259224,0.0145202980082104,0.0139202980082104,0.19858694076538086
2022-09-01,BRITANNIA,LONG,0.78259224,-0.0042537253538083,-0.0048537253538083,0.16604392230510712
2022-09-02,FEDERALBNK,SHORT,0.31488273,-0.013157894736842,0.012557894736842,-0.14019261300563812
2022-09-02,ESCORTS,SHORT,0.31488273,0.0077858880778589,-0.008385888077858901,-0.1275337189435959
2022-09-02,SRF,SHORT,0.31488273,-0.0155635400907715,0.0149635400907715,-0.12595926225185394
2022-09-05,EXIDEIND,LONG,0.6596701,0.0464058234758872,0.0458058234758872,0.29204684495925903
2022-09-05,SHREECEM,LONG,0.6596701,0.0112183668145056,0.0106183668145056,0.19843155145645142
2022-09-05,RELAXO,LONG,0.6596701,-0.0024177233927074,-0.0030177233927074,0.17664043605327606
2022-09-06,KPIL,SHORT,0.44041872,-0.0059825126553152,0.0053825126553152,-0.1262466460466385
2022-09-06,SRF,SHORT,0.44041872,-0.0072638306749862,0.0066638306749862005,-0.09532477706670761
2022-09-06,THERMAX,SHORT,0.44041872,-0.0253619468117876,0.0247619468117876,-0.09347931295633316
2022-09-07,ULTRACEMCO,LONG,0.77611244,0.0068109985012834,0.0062109985012834,0.18393544852733612
2022-09-07,TCS,LONG,0.77611244,0.0118092548616905,0.0112092548616905,0.1801500916481018
2022-09-07,SHREECEM,LONG,0.77611244,0.0230936819172113,0.0224936819172113,0.17558059096336365
2022-09-08,THERMAX,SHORT,0.2585982,0.0035985605757697,-0.0041985605757697,-0.16773967444896698
2022-09-08,TIMKEN,SHORT,0.2585982,0.0024627999233142,-0.0030627999233142,-0.15436407923698425
2022-09-08,SCHAEFFLER,SHORT,0.2585982,0.0055193176116408,-0.0061193176116408,-0.14401841163635254
2022-09-09,HINDUNILVR,LONG,0.7340752,-0.0230304175325901,-0.0236304175325901,0.18287160992622375
2022-09-09,BRITANNIA,LONG,0.7340752,-0.0115645336225597,-0.0121645336225597,0.15746626257896423
2022-09-09,CHOLAFIN,LONG,0.7340752,-0.0124585237588429,-0.0130585237588429,0.15397273004055023
2022-09-12,KEC,LONG,0.6325763,0.066547619047619,0.06594761904761899,0.27070945501327515
2022-09-12,STARHEALTH,LONG,0.6325763,-0.0125859608148437,-0.0131859608148437,0.23019500076770782
2022-09-12,NAVINFLUOR,LONG,0.6325763,0.0267891438668115,0.0261891438668115,0.19748449325561523
2022-09-13,HDFCLIFE,LONG,0.5433451,-0.0079512772796481,-0.0085512772796481,0.23686490952968597
2022-09-13,RELAXO,LONG,0.5433451,0.0239755063589262,0.0233755063589262,0.1938447505235672
2022-09-13,BAJAJ-AUTO,LONG,0.5433451,0.0006072900649929,7.290064992900025e-06,0.180365651845932
2022-09-14,BALKRISIND,LONG,0.56043494,-0.0024707710333936,-0.0030707710333936,0.14312109351158142
2022-09-14,BIOCON,LONG,0.56043494,-0.0045647212259536,-0.0051647212259536,0.14260226488113403
2022-09-14,IOC,LONG,0.56043494,-0.0026315789473684,-0.0032315789473684,0.13169322907924652
2022-09-15,BEL,SHORT,0.4913707,0.0141746684956562,-0.0147746684956562,-0.2696561813354492
2022-09-15,STARHEALTH,SHORT,0.4913707,-0.0017476406850751,0.0011476406850751,-0.24499517679214478
2022-09-15,DELHIVERY,SHORT,0.4913707,-8.614006374374483e-05,-0.0005138599362562551,-0.21494431793689728
2022-09-16,MRF,SHORT,0.36490417,-0.0439664276582736,0.043366427658273594,-0.2091468870639801
2022-09-16,ADANIENT,SHORT,0.36490417,-0.0169023801310795,0.0163023801310795,-0.2032206654548645
2022-09-16,HEROMOTOCO,SHORT,0.36490417,-0.0077858320868331,0.0071858320868331,-0.14073359966278076
2022-09-19,INDUSINDBK,SHORT,0.4205738,-0.0158284912843117,0.0152284912843117,-0.17347660660743713
2022-09-19,THERMAX,SHORT,0.4205738,-0.0433346620351916,0.0427346620351916,-0.11605595052242279
2022-09-19,JKCEMENT,SHORT,0.4205738,-0.0191304347826086,0.0185304347826086,-0.1085914745926857
2022-09-20,HEROMOTOCO,LONG,0.7620684,-0.0143813079965987,-0.0149813079965987,0.31173017621040344
2022-09-20,TVSMOTOR,LONG,0.7620684,-0.0017529292370145,-0.0023529292370144997,0.30592915415763855
2022-09-20,MARICO,LONG,0.7620684,-0.0110096922932154,-0.0116096922932154,0.2519550621509552
2022-09-21,DEVYANI,SHORT,0.4776498,-0.0066326530612245,0.0060326530612245,-0.18649470806121826
2022-09-21,AWL,SHORT,0.4776498,-0.0237843222713404,0.023184322271340402,-0.17022760212421417
2022-09-21,APOLLOHOSP,SHORT,0.4776498,-0.0081307826687082,0.0075307826687082,-0.13272105157375336
2022-09-22,PNB,SHORT,0.22282659,0.0012345679012344,-0.0018345679012344,-0.11810852587223053
2022-09-22,PAGEIND,SHORT,0.22282659,0.0256049575884169,-0.0262049575884169,-0.11738788336515427
2022-09-22,GRANULES,SHORT,0.22282659,0.0224701445631678,-0.0230701445631678,-0.08502940833568573
2022-09-23,POWERGRID,LONG,0.5511554,-0.0401684483317135,-0.0407684483317135,0.23120351135730743
2022-09-23,SBICARD,LONG,0.5511554,-0.0113268608414239,-0.0119268608414239,0.18192844092845917
2022-09-23,FEDERALBNK,LONG,0.5511554,-0.025062656641604,-0.025662656641604,0.17855042219161987
2022-09-26,TATACHEM,SHORT,0.45230994,0.010556484356341,-0.011156484356341,-0.2897956371307373
2022-09-26,AUBANK,SHORT,0.45230994,0.0006704659738518,-0.0012704659738518,-0.22585277259349823
2022-09-26,RBLBANK,SHORT,0.45230994,-0.0209606986899564,0.0203606986899564,-0.221336230635643
2022-09-27,METROPOLIS,SHORT,0.34519106,0.0268272652614289,-0.0274272652614289,-0.09059296548366547
2022-09-27,STARHEALTH,SHORT,0.34519106,0.0233086981239341,-0.023908698123934098,-0.06947354227304459
2022-09-27,GRANULES,SHORT,0.34519106,0.019043046887502,-0.019643046887502,-0.050801679491996765
2022-09-28,RECLTD,LONG,0.6717817,-0.0072689511941849,-0.0078689511941849,0.15724404156208038
2022-09-28,SUNPHARMA,LONG,0.6717817,0.0005461496450027,-5.385035499729993e-05,0.10921118408441544
2022-09-28,RELIANCE,LONG,0.6717817,-0.0125816920819811,-0.013181692081981099,0.10458225011825562
2022-09-29,GRANULES,SHORT,0.213891,0.0007674597083653,-0.0013674597083653,-0.06879579275846481
2022-09-29,METROPOLIS,SHORT,0.213891,0.0176548089591568,-0.0182548089591568,-0.0601167306303978
2022-09-29,TATACHEM,SHORT,0.213891,-0.0049850448654037,0.0043850448654037,-0.04846653342247009
2022-09-30,SRF,SHORT,0.47644576,0.0205664949398276,-0.0211664949398276,-0.10913585871458054
2022-09-30,FEDERALBNK,SHORT,0.47644576,0.0364741641337384,-0.0370741641337384,-0.08427939563989639
2022-09-30,INDUSINDBK,SHORT,0.47644576,0.0229914750710411,-0.0235914750710411,-0.08225313574075699
2022-10-03,SYNGENE,SHORT,0.39630085,-0.0113826877261095,0.0107826877261095,-0.12254827469587326
2022-10-03,IDFCFIRSTB,SHORT,0.39630085,-0.0149253731343284,0.0143253731343284,-0.07893481105566025
2022-10-03,TORNTPHARM,SHORT,0.39630085,-0.0079723791588198,0.007372379158819799,-0.07604405283927917
2022-10-04,NYKAA,LONG,0.5167261,-0.0102156640181612,-0.010815664018161199,0.24549655616283417
2022-10-04,CHOLAFIN,LONG,0.5167261,-0.0066171505739365,-0.0072171505739365,0.21924538910388947
2022-10-04,PETRONET,LONG,0.5167261,0.0186625194401244,0.0180625194401244,0.1735474020242691
2022-10-06,PERSISTENT,LONG,0.6644049,0.0141239707227813,0.0135239707227813,0.318470299243927
2022-10-06,M&M,LONG,0.6644049,-0.0064579256360077,-0.0070579256360077,0.27553150057792664
2022-10-06,MOTHERSON,LONG,0.6644049,-0.0064579256360077,-0.0070579256360077,0.27553150057792664
2022-10-07,INDIGO,LONG,0.5066561,0.0005589714924538,-4.1028507546199975e-05,0.1561281383037567
2022-10-07,HDFCBANK,LONG,0.5066561,-0.0005587372538063,-0.0011587372538063,0.1345125138759613
2022-10-07,NYKAA,LONG,0.5066561,-0.0124797781372775,-0.0130797781372775,0.13161693513393402
