Date,SP500_Overnight_Ret,Nasdaq_Overnight_Ret,Nikkei_Overnight_Ret,HangSeng_Overnight_Ret,VIX_Level,VIX_Change,VIX_Zscore_20d,Prev_Day_Nifty_Ret
2021-06-07,0.008795303383016323,0.014581939718846948,-0.004020370577849924,-0.0016560566552414706,15.9399995803833,0.011991281765665043,,-0.0012818385093088212
2021-06-08,-0.0007970562694215079,0.004854788747373489,0.002681840266470275,-0.004534084658853873,15.569999694824219,-0.023485680791643117,,0.0051811361952536165
2021-06-09,0.00017500954944121158,0.003106486805683189,-0.001920559333614385,-0.00020491835330647116,15.229999542236328,-0.02207882939530252,,-0.0007335750962069031
2021-06-10,-0.0018255325906156837,-0.0009455270249078086,-0.003554206961905216,-0.0013472636801056884,14.75,-0.03202405406453257,,-0.0066772200430738555
2021-06-11,0.004641454776462911,0.007774617912077727,0.003381561350245831,-0.000130476735673539,15.0,0.01680711831638119,,0.006527933518834105
2021-06-14,0.0019465389328083601,0.0034952175598347546,-0.0003395108991291482,0.0035862555234163003,14.100000381469727,-0.061875376663497295,,0.003906490354253145
2021-06-15,0.0018135563851361702,0.007415510511536421,0.007333309910626722,0.0,14.720000267028809,0.04303230700256135,,0.0007908589968395644
2021-06-16,-0.00201371995427588,-0.007171007957286222,0.00953881660972086,-0.007084205833441397,14.609999656677246,-0.0075009291778280395,,0.003623640223476974
2021-06-17,-0.005404703747026491,-0.00236056076213431,-0.0051178420281607255,-0.007067507251822822,14.869999885559082,0.017639550512523708,,-0.006429256198967984
2021-06-18,-0.00043581054367264766,0.00862881106348217,-0.009352933029344779,0.004272278877550663,15.289999961853027,0.02785326467010451,,-0.004841201776747716
2021-06-21,-0.013211355687284158,-0.009291424906852563,-0.0018712577032924341,0.008461706082994548,14.800000190734863,-0.03257182378851409,,-0.0005132013116724437
2021-06-22,0.013905163512319857,0.007887385534521042,-0.03346166427733329,-0.010901419257848252,15.0600004196167,0.017415056577181624,,0.0040185031994205474
2021-06-23,0.005111406378990611,0.007873965438681442,0.03069755910079717,-0.006311434619533085,14.739999771118164,-0.021477379001491336,,0.0016656491552922152
2021-06-24,-0.0010838705186495853,0.0012943691552983075,-0.0003199581369753513,0.01776131749812903,15.369999885559082,0.041852678871521026,,-0.005454598542621072
2021-06-25,0.005794429545916893,0.006841825894486804,1.1769455840640412e-05,0.0022665921742659467,15.100000381469727,-0.01772278102099725,,0.006576170313444658
2021-06-28,0.003325063164687565,-0.0006488186921510073,0.0065911378242274,0.013950888494106905,13.369999885559082,-0.12168138652945251,,0.004416920149496724
2021-06-29,0.0023122888604717494,0.009710107514307377,-0.0006249817457781078,-0.0006803656412111322,13.399999618530273,0.0022412959346536786,,-0.0028823598351750412
2021-06-30,0.0002772977426878152,0.0019167366775329048,-0.008137189645178794,-0.009412698224818517,13.0,-0.030305321027438516,,-0.004197939462444536
2021-07-01,0.0013272784229071918,-0.0016795021482040031,-0.0007318946017428574,-0.0057469720042455106,13.050000190734863,0.0038387909228639093,-1.883580709261006,-0.0017127578361914226
2021-07-02,0.005208041432254744,0.0012698601529681952,-0.0029388660482220106,0.0,12.84000015258789,-0.016222838238793506,-1.8424161784202526,-0.0026431873739428875
2021-07-05,0.007472095894691671,0.008020848054384128,0.0026522823753286993,-0.01811544353412908,12.09000015258789,-0.06018663289790589,-2.229382327246044,0.0026877238189711517
2021-07-06,0.0,0.0,-0.006451228583352791,-0.0059135099398808484,12.09000015258789,0.0,-1.9154605210211713,0.007107867426692256
2021-07-07,-0.0020239027700217787,0.0016591885475208373,0.0015730395605767094,-0.002513171004527704,12.279999732971191,0.015593223726277876,-1.5371542164267822,-0.0010172694162285671
